# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
D9C73_000739	gene-D9C73_000739	rna-gnl|WGS:SCMI|mrna_D9C73_000739	protein_coding	0	0	1	1	0	0	0	0
D9C73_000741	gene-D9C73_000741	rna-gnl|WGS:SCMI|mrna_D9C73_000741	protein_coding	0	0	1	0	1	0	0	0
D9C73_000802	gene-D9C73_000802	rna-gnl|WGS:SCMI|mrna_D9C73_000802	protein_coding	0	0	1	0	1	0	0	0
D9C73_000804	gene-D9C73_000804	rna-gnl|WGS:SCMI|mrna_D9C73_000804	protein_coding	0	0	1	0	1	0	0	0
D9C73_000834	gene-D9C73_000834	rna-gnl|WGS:SCMI|mrna_D9C73_000834	protein_coding	0	0	3	3	0	0	0	0
D9C73_000835	gene-D9C73_000835	rna-gnl|WGS:SCMI|mrna_D9C73_000835	protein_coding	0	0	3	0	0	0	0	3
D9C73_000857	gene-D9C73_000857	rna-gnl|WGS:SCMI|mrna_D9C73_000857	protein_coding	0	0	2	0	2	0	0	0
D9C73_000862	gene-D9C73_000862	rna-gnl|WGS:SCMI|mrna_D9C73_000862	protein_coding	0	0	1	0	0	0	0	1
D9C73_000868	gene-D9C73_000868	rna-gnl|WGS:SCMI|mrna_D9C73_000868	protein_coding	0	0	1	0	0	0	0	1
D9C73_000897	gene-D9C73_000897	rna-gnl|WGS:SCMI|mrna_D9C73_000897	protein_coding	0	0	1	0	1	0	0	0
D9C73_000930	gene-D9C73_000930	rna-gnl|WGS:SCMI|mrna_D9C73_000930	protein_coding	0	0	2	2	0	0	0	0
D9C73_000931	gene-D9C73_000931	rna-gnl|WGS:SCMI|mrna_D9C73_000931	protein_coding	0	0	2	0	0	0	0	2
D9C73_000933	gene-D9C73_000933	rna-gnl|WGS:SCMI|mrna_D9C73_000933	protein_coding	0	0	3	0	3	0	0	0
D9C73_000937	gene-D9C73_000937	rna-gnl|WGS:SCMI|mrna_D9C73_000937	protein_coding	0	0	3	0	3	0	0	0
D9C73_000940	gene-D9C73_000940	rna-gnl|WGS:SCMI|mrna_D9C73_000940	protein_coding	0	0	2	0	0	0	0	2
D9C73_000941	gene-D9C73_000941	rna-gnl|WGS:SCMI|mrna_D9C73_000941	protein_coding	0	0	2	2	0	0	0	0
D9C73_000984	gene-D9C73_000984	rna-gnl|WGS:SCMI|mrna_D9C73_000984	protein_coding	0	0	2	0	2	0	0	0
D9C73_001012	gene-D9C73_001012	rna-gnl|WGS:SCMI|mrna_D9C73_001012	protein_coding	0	0	1	0	1	0	0	0
D9C73_001058	gene-D9C73_001058	rna-gnl|WGS:SCMI|mrna_D9C73_001058	protein_coding	0	0	1	1	0	0	0	0
D9C73_001126	gene-D9C73_001126	rna-gnl|WGS:SCMI|mrna_D9C73_001126	protein_coding	0	0	1	0	1	0	0	0
D9C73_001138	gene-D9C73_001138	rna-gnl|WGS:SCMI|mrna_D9C73_001138	protein_coding	0	0	1	0	0	0	0	1
D9C73_001148	gene-D9C73_001148	rna-gnl|WGS:SCMI|mrna_D9C73_001148	protein_coding	0	0	2	0	0	0	0	2
D9C73_001219	gene-D9C73_001219	rna-gnl|WGS:SCMI|mrna_D9C73_001219	protein_coding	0	0	1	0	1	0	0	0
D9C73_001242	gene-D9C73_001242	rna-gnl|WGS:SCMI|mrna_D9C73_001242	protein_coding	0	0	2	2	0	0	0	0
D9C73_001243	gene-D9C73_001243	rna-gnl|WGS:SCMI|mrna_D9C73_001243	protein_coding	0	0	2	2	0	0	0	0
D9C73_001278	gene-D9C73_001278	rna-gnl|WGS:SCMI|mrna_D9C73_001278	protein_coding	0	0	1	0	1	0	0	0
D9C73_001280	gene-D9C73_001280	rna-gnl|WGS:SCMI|mrna_D9C73_001280	protein_coding	0	0	1	1	0	0	0	0
D9C73_001288	gene-D9C73_001288	rna-gnl|WGS:SCMI|mrna_D9C73_001288	protein_coding	0	0	2	0	2	0	0	0
D9C73_001360	gene-D9C73_001360	rna-gnl|WGS:SCMI|mrna_D9C73_001360	protein_coding	0	0	1	0	1	0	0	0
D9C73_001367	gene-D9C73_001367	rna-gnl|WGS:SCMI|mrna_D9C73_001367	protein_coding	0	0	2	0	0	0	0	2
D9C73_001373	gene-D9C73_001373	rna-gnl|WGS:SCMI|mrna_D9C73_001373	protein_coding	0	0	2	0	0	0	0	2
D9C73_001374	gene-D9C73_001374	rna-gnl|WGS:SCMI|mrna_D9C73_001374	protein_coding	0	0	2	0	0	0	0	2
D9C73_001375	gene-D9C73_001375	rna-gnl|WGS:SCMI|mrna_D9C73_001375	protein_coding	0	0	2	0	0	0	0	2
D9C73_001382	gene-D9C73_001382	rna-gnl|WGS:SCMI|mrna_D9C73_001382	protein_coding	0	0	1	0	1	0	0	0
D9C73_001440	gene-D9C73_001440	rna-gnl|WGS:SCMI|mrna_D9C73_001440	protein_coding	0	0	1	0	0	0	0	1
D9C73_001441	gene-D9C73_001441	rna-gnl|WGS:SCMI|mrna_D9C73_001441	protein_coding	0	0	1	0	0	0	0	1
D9C73_001453	gene-D9C73_001453	rna-gnl|WGS:SCMI|mrna_D9C73_001453	protein_coding	0	0	2	0	0	0	0	2
D9C73_001454	gene-D9C73_001454	rna-gnl|WGS:SCMI|mrna_D9C73_001454	protein_coding	0	0	2	2	0	0	0	0
D9C73_001473	gene-D9C73_001473	rna-gnl|WGS:SCMI|mrna_D9C73_001473	protein_coding	0	0	1	0	0	0	0	1
D9C73_001474	gene-D9C73_001474	rna-gnl|WGS:SCMI|mrna_D9C73_001474	protein_coding	0	0	1	1	0	0	0	0
D9C73_001510	gene-D9C73_001510	rna-gnl|WGS:SCMI|mrna_D9C73_001510	protein_coding	0	0	1	0	1	0	0	0
D9C73_001532	gene-D9C73_001532	rna-gnl|WGS:SCMI|mrna_D9C73_001532	protein_coding	0	0	1	0	1	0	0	0
D9C73_001557	gene-D9C73_001557	rna-gnl|WGS:SCMI|mrna_D9C73_001557	protein_coding	0	0	2	0	2	0	0	0
D9C73_001569	gene-D9C73_001569	rna-gnl|WGS:SCMI|mrna_D9C73_001569	protein_coding	0	0	1	0	1	0	0	0
D9C73_001605	gene-D9C73_001605	rna-gnl|WGS:SCMI|mrna_D9C73_001605	protein_coding	0	0	1	0	1	0	0	0
D9C73_001630	gene-D9C73_001630	rna-gnl|WGS:SCMI|mrna_D9C73_001630	protein_coding	0	0	1	0	1	0	0	0
D9C73_001650	gene-D9C73_001650	rna-gnl|WGS:SCMI|mrna_D9C73_001650	protein_coding	0	0	1	1	0	0	0	0
D9C73_001655	gene-D9C73_001655	rna-gnl|WGS:SCMI|mrna_D9C73_001655	protein_coding	0	0	1	0	0	0	0	1
D9C73_001696	gene-D9C73_001696	rna-gnl|WGS:SCMI|mrna_D9C73_001696	protein_coding	0	0	2	0	0	0	0	2
D9C73_001698	gene-D9C73_001698	rna-gnl|WGS:SCMI|mrna_D9C73_001698	protein_coding	0	0	1	0	1	0	0	0
D9C73_001763	gene-D9C73_001763	rna-gnl|WGS:SCMI|mrna_D9C73_001763	protein_coding	0	0	1	0	1	0	0	0
D9C73_001849	gene-D9C73_001849	rna-gnl|WGS:SCMI|mrna_D9C73_001849	protein_coding	0	0	2	0	2	0	0	0
D9C73_001887	gene-D9C73_001887	rna-gnl|WGS:SCMI|mrna_D9C73_001887	protein_coding	0	0	1	0	0	0	0	1
D9C73_001888	gene-D9C73_001888	rna-gnl|WGS:SCMI|mrna_D9C73_001888	protein_coding	0	0	1	0	0	0	0	1
D9C73_001898	gene-D9C73_001898	rna-gnl|WGS:SCMI|mrna_D9C73_001898	protein_coding	0	0	1	0	0	0	0	1
D9C73_001906	gene-D9C73_001906	rna-gnl|WGS:SCMI|mrna_D9C73_001906	protein_coding	0	0	4	4	0	0	0	0
D9C73_001929	gene-D9C73_001929	rna-gnl|WGS:SCMI|mrna_D9C73_001929	protein_coding	0	0	1	1	0	0	0	0
D9C73_001932	gene-D9C73_001932	rna-gnl|WGS:SCMI|mrna_D9C73_001932	protein_coding	0	0	1	1	0	0	0	0
D9C73_001939	gene-D9C73_001939	rna-gnl|WGS:SCMI|mrna_D9C73_001939	protein_coding	0	0	1	0	0	0	0	1
D9C73_001940	gene-D9C73_001940	rna-gnl|WGS:SCMI|mrna_D9C73_001940	protein_coding	0	0	1	1	0	0	0	0
D9C73_002047	gene-D9C73_002047	rna-gnl|WGS:SCMI|mrna_D9C73_002047	protein_coding	0	0	3	1	2	0	0	0
D9C73_002073	gene-D9C73_002073	rna-gnl|WGS:SCMI|mrna_D9C73_002073	protein_coding	0	0	1	0	1	0	0	0
D9C73_002133	gene-D9C73_002133	rna-gnl|WGS:SCMI|mrna_D9C73_002133	protein_coding	0	0	2	2	0	0	0	0
D9C73_002197	gene-D9C73_002197	rna-gnl|WGS:SCMI|mrna_D9C73_002197	protein_coding	0	0	1	0	1	0	0	0
D9C73_002207	gene-D9C73_002207	rna-gnl|WGS:SCMI|mrna_D9C73_002207	protein_coding	0	0	1	0	0	0	0	1
D9C73_002245	gene-D9C73_002245	rna-gnl|WGS:SCMI|mrna_D9C73_002245	protein_coding	0	0	1	0	1	0	0	0
D9C73_002256	gene-D9C73_002256	rna-gnl|WGS:SCMI|mrna_D9C73_002256	protein_coding	0	0	1	1	0	0	0	0
D9C73_002279	gene-D9C73_002279	rna-gnl|WGS:SCMI|mrna_D9C73_002279	protein_coding	0	0	1	0	0	0	0	1
D9C73_002359	gene-D9C73_002359	rna-gnl|WGS:SCMI|mrna_D9C73_002359	protein_coding	0	0	1	0	0	0	0	1
D9C73_002360	gene-D9C73_002360	rna-gnl|WGS:SCMI|mrna_D9C73_002360	protein_coding	0	0	1	0	1	0	0	0
D9C73_002447	gene-D9C73_002447	rna-gnl|WGS:SCMI|mrna_D9C73_002447	protein_coding	0	0	2	0	2	0	0	0
D9C73_002475	gene-D9C73_002475	rna-gnl|WGS:SCMI|mrna_D9C73_002475	protein_coding	0	0	1	0	1	0	0	0
D9C73_002476	gene-D9C73_002476	rna-gnl|WGS:SCMI|mrna_D9C73_002476	protein_coding	0	0	1	0	0	0	0	1
D9C73_002479	gene-D9C73_002479	rna-gnl|WGS:SCMI|mrna_D9C73_002479	protein_coding	0	0	1	1	0	0	0	0
D9C73_002533	gene-D9C73_002533	rna-gnl|WGS:SCMI|mrna_D9C73_002533	protein_coding	0	0	1	0	1	0	0	0
D9C73_002536	gene-D9C73_002536	rna-gnl|WGS:SCMI|mrna_D9C73_002536	protein_coding	0	0	4	0	0	0	0	4
D9C73_002537	gene-D9C73_002537	rna-gnl|WGS:SCMI|mrna_D9C73_002537	protein_coding	0	0	4	4	0	0	0	0
D9C73_002582	gene-D9C73_002582	rna-gnl|WGS:SCMI|mrna_D9C73_002582	protein_coding	0	0	1	0	0	0	0	1
D9C73_002635	gene-D9C73_002635	rna-gnl|WGS:SCMI|mrna_D9C73_002635	protein_coding	0	0	1	1	0	0	0	0
D9C73_002636	gene-D9C73_002636	rna-gnl|WGS:SCMI|mrna_D9C73_002636	protein_coding	0	0	1	0	0	0	0	1
D9C73_002698	gene-D9C73_002698	rna-gnl|WGS:SCMI|mrna_D9C73_002698	protein_coding	0	0	1	0	1	0	0	0
D9C73_002734	gene-D9C73_002734	rna-gnl|WGS:SCMI|mrna_D9C73_002734	protein_coding	0	0	2	0	2	0	0	0
D9C73_002853	gene-D9C73_002853	rna-gnl|WGS:SCMI|mrna_D9C73_002853	protein_coding	0	0	2	0	2	0	0	0
D9C73_002913	gene-D9C73_002913	rna-gnl|WGS:SCMI|mrna_D9C73_002913	protein_coding	0	0	1	0	1	0	0	0
D9C73_002976	gene-D9C73_002976	rna-gnl|WGS:SCMI|mrna_D9C73_002976	protein_coding	0	0	1	0	0	0	0	1
D9C73_002993	gene-D9C73_002993	rna-gnl|WGS:SCMI|mrna_D9C73_002993	protein_coding	0	0	2	0	2	0	0	0
D9C73_003026	gene-D9C73_003026	rna-gnl|WGS:SCMI|mrna_D9C73_003026	protein_coding	0	0	1	1	0	0	0	0
D9C73_003027	gene-D9C73_003027	rna-gnl|WGS:SCMI|mrna_D9C73_003027	protein_coding	0	0	1	1	0	0	0	0
D9C73_003140	gene-D9C73_003140	rna-gnl|WGS:SCMI|mrna_D9C73_003140	protein_coding	0	0	2	0	2	0	0	0
D9C73_003218	gene-D9C73_003218	rna-gnl|WGS:SCMI|mrna_D9C73_003218	protein_coding	0	0	1	0	1	0	0	0
D9C73_003225	gene-D9C73_003225	rna-gnl|WGS:SCMI|mrna_D9C73_003225	protein_coding	0	0	4	0	4	0	0	0
D9C73_003226	gene-D9C73_003226	rna-gnl|WGS:SCMI|mrna_D9C73_003226	protein_coding	0	0	4	0	0	0	0	4
D9C73_003228	gene-D9C73_003228	rna-gnl|WGS:SCMI|mrna_D9C73_003228	protein_coding	0	0	1	0	1	0	0	0
D9C73_003259	gene-D9C73_003259	rna-gnl|WGS:SCMI|mrna_D9C73_003259	protein_coding	0	0	1	0	0	0	0	1
D9C73_003260	gene-D9C73_003260	rna-gnl|WGS:SCMI|mrna_D9C73_003260	protein_coding	0	0	1	0	0	0	0	1
D9C73_003314	gene-D9C73_003314	rna-gnl|WGS:SCMI|mrna_D9C73_003314	protein_coding	0	0	1	0	1	0	0	0
D9C73_003372	gene-D9C73_003372	rna-gnl|WGS:SCMI|mrna_D9C73_003372	protein_coding	0	0	3	0	3	0	0	0
D9C73_003387	gene-D9C73_003387	rna-gnl|WGS:SCMI|mrna_D9C73_003387	protein_coding	0	0	3	0	3	0	0	0
D9C73_003477	gene-D9C73_003477	rna-gnl|WGS:SCMI|mrna_D9C73_003477	protein_coding	0	0	1	0	1	0	0	0
D9C73_003491	gene-D9C73_003491	rna-gnl|WGS:SCMI|mrna_D9C73_003491	protein_coding	0	0	1	0	1	0	0	0
D9C73_003515	gene-D9C73_003515	rna-gnl|WGS:SCMI|mrna_D9C73_003515	protein_coding	0	0	1	1	0	0	0	0
D9C73_003516	gene-D9C73_003516	rna-gnl|WGS:SCMI|mrna_D9C73_003516	protein_coding	0	0	1	0	1	0	0	0
D9C73_003517	gene-D9C73_003517	rna-gnl|WGS:SCMI|mrna_D9C73_003517	protein_coding	0	0	1	1	0	0	0	0
D9C73_003518	gene-D9C73_003518	rna-gnl|WGS:SCMI|mrna_D9C73_003518	protein_coding	0	0	1	1	0	0	0	0
D9C73_003581	gene-D9C73_003581	rna-gnl|WGS:SCMI|mrna_D9C73_003581	protein_coding	0	0	1	0	1	0	0	0
D9C73_003584	gene-D9C73_003584	rna-gnl|WGS:SCMI|mrna_D9C73_003584	protein_coding	0	0	2	0	0	0	0	2
D9C73_003608	gene-D9C73_003608	rna-gnl|WGS:SCMI|mrna_D9C73_003608	protein_coding	0	0	1	1	0	0	0	0
D9C73_003609	gene-D9C73_003609	rna-gnl|WGS:SCMI|mrna_D9C73_003609	protein_coding	0	0	1	1	0	0	0	0
D9C73_003621	gene-D9C73_003621	rna-gnl|WGS:SCMI|mrna_D9C73_003621	protein_coding	0	0	1	0	1	0	0	0
D9C73_003629	gene-D9C73_003629	rna-gnl|WGS:SCMI|mrna_D9C73_003629	protein_coding	0	0	1	0	1	0	0	0
D9C73_003658	gene-D9C73_003658	rna-gnl|WGS:SCMI|mrna_D9C73_003658	protein_coding	0	0	1	0	0	0	0	1
D9C73_003659	gene-D9C73_003659	rna-gnl|WGS:SCMI|mrna_D9C73_003659	protein_coding	0	0	1	0	1	0	0	0
D9C73_003681	gene-D9C73_003681	rna-gnl|WGS:SCMI|mrna_D9C73_003681	protein_coding	0	0	1	0	0	0	0	1
D9C73_003682	gene-D9C73_003682	rna-gnl|WGS:SCMI|mrna_D9C73_003682	protein_coding	0	0	1	0	0	0	0	1
D9C73_003686	gene-D9C73_003686	rna-gnl|WGS:SCMI|mrna_D9C73_003686	protein_coding	0	0	2	0	0	0	0	2
D9C73_003687	gene-D9C73_003687	rna-gnl|WGS:SCMI|mrna_D9C73_003687	protein_coding	0	0	2	0	2	0	0	0
D9C73_003705	gene-D9C73_003705	rna-gnl|WGS:SCMI|mrna_D9C73_003705	protein_coding	0	0	1	0	1	0	0	0
D9C73_003738	gene-D9C73_003738	rna-gnl|WGS:SCMI|mrna_D9C73_003738	protein_coding	0	0	6	0	0	0	0	6
D9C73_003880	gene-D9C73_003880	rna-gnl|WGS:SCMI|mrna_D9C73_003880	protein_coding	0	0	1	0	0	0	0	1
D9C73_003891	gene-D9C73_003891	rna-gnl|WGS:SCMI|mrna_D9C73_003891	protein_coding	0	0	1	0	1	0	0	0
D9C73_003900	gene-D9C73_003900	rna-gnl|WGS:SCMI|mrna_D9C73_003900	protein_coding	0	0	2	0	0	0	0	2
D9C73_003978	gene-D9C73_003978	rna-gnl|WGS:SCMI|mrna_D9C73_003978	protein_coding	0	0	2	0	2	0	0	0
D9C73_003995	gene-D9C73_003995	rna-gnl|WGS:SCMI|mrna_D9C73_003995	protein_coding	0	0	2	0	2	0	0	0
D9C73_004066	gene-D9C73_004066	rna-gnl|WGS:SCMI|mrna_D9C73_004066	protein_coding	0	0	1	0	1	0	0	0
D9C73_004072	gene-D9C73_004072	rna-gnl|WGS:SCMI|mrna_D9C73_004072	protein_coding	0	0	1	0	1	0	0	0
D9C73_004076	gene-D9C73_004076	rna-gnl|WGS:SCMI|mrna_D9C73_004076	protein_coding	0	0	1	0	0	0	0	1
D9C73_004151	gene-D9C73_004151	rna-gnl|WGS:SCMI|mrna_D9C73_004151	protein_coding	0	0	2	0	2	0	0	0
D9C73_004209	gene-D9C73_004209	rna-gnl|WGS:SCMI|mrna_D9C73_004209	protein_coding	0	0	1	0	1	0	0	0
D9C73_004219	gene-D9C73_004219	rna-gnl|WGS:SCMI|mrna_D9C73_004219	protein_coding	0	0	2	0	2	0	0	0
D9C73_004321	gene-D9C73_004321	rna-gnl|WGS:SCMI|mrna_D9C73_004321	protein_coding	0	0	2	0	0	0	0	2
D9C73_004343	gene-D9C73_004343	rna-gnl|WGS:SCMI|mrna_D9C73_004343	protein_coding	0	0	1	0	1	0	0	0
D9C73_004387	gene-D9C73_004387	rna-gnl|WGS:SCMI|mrna_D9C73_004387	protein_coding	0	0	3	0	3	0	0	0
D9C73_004389	gene-D9C73_004389	rna-gnl|WGS:SCMI|mrna_D9C73_004389	protein_coding	0	0	1	0	1	0	0	0
D9C73_004433	gene-D9C73_004433	rna-gnl|WGS:SCMI|mrna_D9C73_004433	protein_coding	0	0	3	0	3	0	0	0
D9C73_004458	gene-D9C73_004458	rna-gnl|WGS:SCMI|mrna_D9C73_004458	protein_coding	0	0	2	0	0	0	0	2
D9C73_004543	gene-D9C73_004543	rna-gnl|WGS:SCMI|mrna_D9C73_004543	protein_coding	0	0	2	0	0	0	0	2
D9C73_004547	gene-D9C73_004547	rna-gnl|WGS:SCMI|mrna_D9C73_004547	protein_coding	0	0	1	1	0	0	0	0
D9C73_004548	gene-D9C73_004548	rna-gnl|WGS:SCMI|mrna_D9C73_004548	protein_coding	0	0	1	0	0	0	0	1
D9C73_004549	gene-D9C73_004549	rna-gnl|WGS:SCMI|mrna_D9C73_004549	protein_coding	0	0	1	0	1	0	0	0
D9C73_004562	gene-D9C73_004562	rna-gnl|WGS:SCMI|mrna_D9C73_004562	protein_coding	0	0	1	0	0	0	0	1
D9C73_004584	gene-D9C73_004584	rna-gnl|WGS:SCMI|mrna_D9C73_004584	protein_coding	0	0	1	0	0	0	0	1
D9C73_004588	gene-D9C73_004588	rna-gnl|WGS:SCMI|mrna_D9C73_004588	protein_coding	0	0	1	1	0	0	0	0
D9C73_004601	gene-D9C73_004601	rna-gnl|WGS:SCMI|mrna_D9C73_004601	protein_coding	0	0	1	0	1	0	0	0
D9C73_004612	gene-D9C73_004612	rna-gnl|WGS:SCMI|mrna_D9C73_004612	protein_coding	0	0	2	2	0	0	0	0
D9C73_004613	gene-D9C73_004613	rna-gnl|WGS:SCMI|mrna_D9C73_004613	protein_coding	0	0	2	2	0	0	0	0
D9C73_004634	gene-D9C73_004634	rna-gnl|WGS:SCMI|mrna_D9C73_004634	protein_coding	0	0	1	0	0	0	0	1
D9C73_004637	gene-D9C73_004637	rna-gnl|WGS:SCMI|mrna_D9C73_004637	protein_coding	1	0	5	0	1	0	1	4
D9C73_004646	gene-D9C73_004646	rna-gnl|WGS:SCMI|mrna_D9C73_004646	protein_coding	0	0	1	0	0	0	0	1
D9C73_004658	gene-D9C73_004658	rna-gnl|WGS:SCMI|mrna_D9C73_004658	protein_coding	0	0	1	0	1	0	0	0
D9C73_004659	gene-D9C73_004659	rna-gnl|WGS:SCMI|mrna_D9C73_004659	protein_coding	0	0	5	0	0	0	0	5
D9C73_004663	gene-D9C73_004663	rna-gnl|WGS:SCMI|mrna_D9C73_004663	protein_coding	0	0	1	1	0	0	0	0
D9C73_004665	gene-D9C73_004665	rna-gnl|WGS:SCMI|mrna_D9C73_004665	protein_coding	0	0	1	0	0	0	0	1
D9C73_004669	gene-D9C73_004669	rna-gnl|WGS:SCMI|mrna_D9C73_004669	protein_coding	0	0	1	1	0	0	0	0
D9C73_004917	gene-D9C73_004917	rna-gnl|WGS:SCMI|mrna_D9C73_004917	protein_coding	0	0	3	3	0	0	0	0
D9C73_005029	gene-D9C73_005029	rna-gnl|WGS:SCMI|mrna_D9C73_005029	protein_coding	0	0	2	0	0	0	0	2
D9C73_005030	gene-D9C73_005030	rna-gnl|WGS:SCMI|mrna_D9C73_005030	protein_coding	0	0	2	0	0	0	0	2
D9C73_005100	gene-D9C73_005100	rna-gnl|WGS:SCMI|mrna_D9C73_005100	protein_coding	0	0	2	0	0	0	0	2
D9C73_005125	gene-D9C73_005125	rna-gnl|WGS:SCMI|mrna_D9C73_005125	protein_coding	0	0	5	5	0	0	0	0
D9C73_005126	gene-D9C73_005126	rna-gnl|WGS:SCMI|mrna_D9C73_005126	protein_coding	0	0	5	5	0	0	0	0
D9C73_005153	gene-D9C73_005153	rna-gnl|WGS:SCMI|mrna_D9C73_005153	protein_coding	0	0	1	0	1	0	0	0
D9C73_005258	gene-D9C73_005258	rna-gnl|WGS:SCMI|mrna_D9C73_005258	protein_coding	0	0	1	0	0	0	0	1
D9C73_005259	gene-D9C73_005259	rna-gnl|WGS:SCMI|mrna_D9C73_005259	protein_coding	0	0	1	1	0	0	0	0
D9C73_005268	gene-D9C73_005268	rna-gnl|WGS:SCMI|mrna_D9C73_005268	protein_coding	0	0	1	0	0	0	0	1
D9C73_005269	gene-D9C73_005269	rna-gnl|WGS:SCMI|mrna_D9C73_005269	protein_coding	0	0	1	0	0	0	0	1
D9C73_005319	gene-D9C73_005319	rna-gnl|WGS:SCMI|mrna_D9C73_005319	protein_coding	0	0	1	0	1	0	0	0
D9C73_005332	gene-D9C73_005332	rna-gnl|WGS:SCMI|mrna_D9C73_005332	protein_coding	0	0	1	0	1	0	0	0
D9C73_005392	gene-D9C73_005392	rna-gnl|WGS:SCMI|mrna_D9C73_005392	protein_coding	0	0	3	0	3	0	0	0
D9C73_005619	gene-D9C73_005619	rna-gnl|WGS:SCMI|mrna_D9C73_005619	protein_coding	0	0	1	0	0	0	0	1
D9C73_005620	gene-D9C73_005620	rna-gnl|WGS:SCMI|mrna_D9C73_005620	protein_coding	0	0	1	1	0	0	0	0
D9C73_005712	gene-D9C73_005712	rna-gnl|WGS:SCMI|mrna_D9C73_005712	protein_coding	0	0	1	0	1	0	0	0
D9C73_005757	gene-D9C73_005757	rna-gnl|WGS:SCMI|mrna_D9C73_005757	protein_coding	0	0	1	0	1	0	0	0
D9C73_005779	gene-D9C73_005779	rna-gnl|WGS:SCMI|mrna_D9C73_005779	protein_coding	0	0	1	0	0	0	0	1
D9C73_005780	gene-D9C73_005780	rna-gnl|WGS:SCMI|mrna_D9C73_005780	protein_coding	0	0	1	1	0	0	0	0
D9C73_005829	gene-D9C73_005829	rna-gnl|WGS:SCMI|mrna_D9C73_005829	protein_coding	0	0	2	0	0	0	0	2
D9C73_005842	gene-D9C73_005842	rna-gnl|WGS:SCMI|mrna_D9C73_005842	protein_coding	0	0	1	0	0	0	0	1
D9C73_005845	gene-D9C73_005845	rna-gnl|WGS:SCMI|mrna_D9C73_005845	protein_coding	0	0	1	1	0	0	0	0
D9C73_005846	gene-D9C73_005846	rna-gnl|WGS:SCMI|mrna_D9C73_005846	protein_coding	0	0	1	0	0	0	0	1
D9C73_005988	gene-D9C73_005988	rna-gnl|WGS:SCMI|mrna_D9C73_005988	protein_coding	0	0	2	2	0	0	0	0
D9C73_006007	gene-D9C73_006007	rna-gnl|WGS:SCMI|mrna_D9C73_006007	protein_coding	0	0	3	1	0	0	0	2
D9C73_006008	gene-D9C73_006008	rna-gnl|WGS:SCMI|mrna_D9C73_006008	protein_coding	0	0	1	1	0	0	0	0
D9C73_006035	gene-D9C73_006035	rna-gnl|WGS:SCMI|mrna_D9C73_006035	protein_coding	0	0	1	1	0	0	0	0
